time,iter,used,max_ci,vp_mean,vm_mean,T_global,extra_global
1759433099.412,3450,10994,3.508356873337188,585.7369829954715,593.562773288392,44497021.84456644,44486028
1759433101.486,3500,11094,3.4739142752156074,586.9141384599812,595.5724809530407,44626569.60640061,44615476
1759433103.549,3550,11194,3.4430387208448194,587.8040556638282,596.3575299661053,44530687.90190164,44519494
1759433105.591,3600,11294,3.41575579934114,588.3420059371915,600.4115226484314,44589795.45145826,44578502
1759433107.610,3650,11394,3.3951229399449083,589.9709096952977,599.9556967119512,44706186.5391779,44694793
1759433109.656,3700,11494,3.3574347918922007,590.2694481474928,598.9910703866567,44734670.01493086,44723177
1759433111.671,3750,11594,3.3329657023453154,589.0302824218282,597.8260610714386,44575388.93387316,44563795
1759433113.684,3800,11694,3.305423164739479,592.7630401000665,595.3603395009993,44665851.805893034,44654158
1759433115.720,3850,11794,3.282698281127497,595.0339430065079,597.7695948908804,44791545.6448557,44779752
1759433117.711,3900,11894,3.2667109925124858,595.2983779575538,600.1110738329096,44877212.2826455,44865319
1759433119.734,3950,11994,3.2451039978170813,595.8130425830959,599.64598321072,44893069.37233262,44881076
1759433121.734,4000,12094,3.229115758215969,595.3415751984785,599.0216018117094,44757000.33485902,44744907
1759433123.770,4050,12194,3.2004952292657824,595.5982038339134,599.0012261258099,44752110.313676655,44739917
1759433125.820,4100,12294,3.1886677067051146,595.3700310234519,599.452856482799,44757079.84743191,44744786
1759433127.820,4150,12394,3.1685184726864506,596.485619504118,598.1469212352624,44722348.751567625,44709955
1759433129.861,4200,12494,3.161540134533749,597.0906450778689,600.509298009338,44678662.08215831,44666169
1759433131.912,4250,12594,3.1515263517332333,596.8283231232343,600.354462728156,44583906.45830582,44571313
1759433133.948,4300,12694,3.132240122638732,594.5660415588185,602.149293869875,44594557.16515229,44581864
1759433136.000,4350,12794,3.1114355883436215,595.1902636498116,602.3746544078531,44671037.90556867,44658244
1759433138.009,4400,12894,3.0918768171537954,592.7883411632931,602.6286182633588,44454308.48304149,44441415
1759433140.054,4450,12994,3.076799446226699,595.006332259863,602.2254075863707,44581730.303469226,44568737
1759433142.117,4500,13094,3.056169192629813,595.2893049480282,602.1734102103485,44495345.652690925,44482252
1759433144.156,4550,13194,3.0389885892923614,595.9271892035595,602.1565928168441,44556469.361682065,44543276
1759433146.347,4600,13294,3.0251737310113276,596.4637578977117,600.940512926074,44584137.59280441,44570844
1759433148.344,4650,13394,2.9988327955340277,597.2778690505565,598.5871454298444,44493435.51971707,44480042
1759433150.386,4700,13494,2.979349919889119,596.6256335086205,597.6656796746288,44466582.19603204,44453089
1759433152.420,4750,13594,2.967168355804279,595.174533490921,597.6815291011458,44427357.58525063,44413764
1759433154.466,4800,13694,2.944219699303614,597.431601304291,597.615561518832,44487855.35313863,44474162
1759433156.497,4850,13794,2.925931018094916,594.534458347215,598.1742109782053,44379335.47667944,44365542
1759433158.478,4900,13894,2.918888186650673,595.6473440642176,598.2291728965959,44460566.242923096,44446673
1759433160.491,4950,13994,2.901646104288609,594.9701752174614,597.6708884250188,44508570.135613985,44494577
1759433162.552,5000,14094,2.8809739616851493,593.7610900743084,599.3538557560169,44468026.47287573,44453933
1759433164.601,5050,14194,2.871045198254439,595.175155434642,600.3006932367944,44582701.92543131,44568508
1759433166.677,5100,14294,2.850470898702035,593.2241495563412,599.2497774420895,44462081.83544133,44447788
1759433168.691,5150,14394,2.841617774436154,594.1232397146475,599.1333137734421,44472814.73314254,44458421
1759433170.745,5200,14494,2.8215802990419707,592.8697366598601,596.8107999333465,44364248.43765477,44349755
1759433172.852,5250,14594,2.8073351283473835,593.4192787068115,596.916517583091,44491664.41356289,44477071
1759433174.937,5300,14694,2.786824779688556,593.8536585578638,596.6097184344952,44485198.829402685,44470505
1759433176.984,5350,14794,2.7762559581918937,594.2070108196328,594.5181793124667,44423050.37925652,44408257
1759433179.016,5400,14894,2.7632102172269564,593.6232125250956,595.5312149016784,44439314.95626499,44424421
1759433181.049,5450,14994,2.752537149104581,593.535805298811,594.773829664188,44295897.35633531,44280904
