seed,layer,task,neuron_idx,shapley_value
95,features.7,cls,3,-0.0003165374677002577
95,features.7,cls,4,0.0026483204134366907
95,features.7,cls,5,0.004796382428940586
95,features.7,cls,6,0.012909560723514218
95,features.7,cls,7,0.02060594315245486
95,features.7,cls,8,0.002015245478036175
95,features.7,cls,9,0.008627648578811365
95,features.7,cls,10,0.012340051679586572
95,features.7,cls,11,0.01141679586563307
95,features.7,cls,12,-0.00453540051679588
95,features.7,cls,13,0.012225064599483193
95,features.7,cls,14,-0.01412842377260984
95,features.7,cls,15,0.0015056847545219735
95,features.7,cls,16,0.01286124031007755
95,features.7,cls,17,-0.017070284237726118
95,features.7,cls,18,0.010471317829457361
95,features.7,cls,19,0.017459689922480592
95,features.7,cls,20,-0.0013214470284237745
95,features.7,cls,21,-0.014816537467700279
95,features.7,cls,22,-0.0013338501291989635
95,features.7,cls,23,-0.0036568475452196376
95,features.7,cls,24,-0.01096950904392768
95,features.7,cls,25,-0.0021390180878552868
95,features.7,cls,26,0.013938501291989683
95,features.7,cls,27,0.0028431524547803478
95,features.7,cls,28,-0.005845736434108529
95,features.7,cls,29,-0.0017023255813953513
95,features.7,cls,30,-0.00038139534883720514
95,features.7,cls,31,-0.005537984496124041
95,features.7,cls,32,0.0010082687338501387
95,features.7,cls,33,0.001066408268733857
95,features.7,cls,34,-0.011914211886304926
95,features.7,cls,35,0.003403100775193798
95,features.7,cls,36,-0.004784496124031013
95,features.7,cls,37,0.011094573643410842
95,features.7,cls,38,-0.0017056847545219621
95,features.7,cls,39,0.0018943152454780274
95,features.7,cls,40,0.009138501291989645
95,features.7,cls,41,0.003659431524547798
95,features.7,cls,42,-0.0008330749354005073
95,features.7,cls,43,-0.021743410852713196
95,features.7,cls,44,-0.012981136950904413
95,features.7,cls,45,-0.03233772609819129
95,features.7,cls,46,-0.006688113695090439
95,features.7,cls,47,0.01601550387596902
95,features.7,cls,48,-0.01904108527131783
95,features.7,cls,49,0.0037837209302325693
95,features.7,cls,50,0.008626098191214472
95,features.7,cls,51,0.02124496124031012
95,features.7,cls,52,-0.000436434108527134
95,features.7,cls,53,-0.010842635658914745
95,features.7,cls,54,0.008891989664082682
95,features.7,cls,55,0.010713178294573664
95,features.7,cls,56,0.00422299741602067
95,features.7,cls,57,0.021375710594315245
95,features.7,cls,58,-0.020674677002583988
95,features.7,cls,59,-0.006993023255813952
95,features.7,cls,60,-0.02684728682170549
95,features.7,cls,61,0.007560206718346254
95,features.7,cls,62,-0.016255297157622754
95,features.7,cls,63,-0.007945994832041343
95,features.10,cls,0,0.16953500000000016
95,features.10,cls,1,0.4459483333333335
95,features.10,cls,2,0.3485775000000007
95,features.10,cls,3,0.21381500000000056
95,features.10,cls,4,0.09593249999999989
95,features.10,cls,5,1.2601699999999998
95,features.10,cls,6,0.2617666666666668
95,features.10,cls,7,0.3469175000000001
95,features.10,cls,8,0.26686750000000037
95,features.10,cls,9,0.12943999999999967
95,features.10,cls,10,0.5040866666666669
95,features.10,cls,11,0.6386766666666662
95,features.10,cls,12,0.5451241666666675
95,features.10,cls,13,0.44877833333333395
95,features.10,cls,14,0.5880024999999999
95,features.10,cls,15,0.9187133333333354
95,features.10,cls,16,0.19592500000000015
95,features.10,cls,17,0.3943575000000015
95,features.10,cls,18,0.47036166666666684
95,features.10,cls,19,0.0233691666666666
95,features.10,cls,20,-0.0559058333333332
95,features.10,cls,21,-0.05222000000000005
95,features.10,cls,22,0.07380916666666687
95,features.10,cls,23,0.2333733333333338
95,features.10,cls,24,-0.09266500000000039
95,features.10,cls,25,-0.037207500000000004
95,features.10,cls,26,0.9026516666666661
95,features.10,cls,27,1.5666916666666582
95,features.10,cls,28,0.3188841666666677
95,features.10,cls,29,-0.00247999999999995
95,features.10,cls,30,-0.010173333333333288
95,features.10,cls,31,0.13634833333333302
95,features.10,cls,32,0.6109858333333325
95,features.10,cls,33,0.30021583333333346
95,features.10,cls,34,0.2111916666666673
95,features.10,cls,35,0.41969166666666685
95,features.10,cls,36,0.8504083333333339
95,features.10,cls,37,1.173814999999997
95,features.10,cls,38,0.37865749999999987
